Geo_FIPS	Geo_NAME	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_CHARITER	Geo_CIFSN	Geo_LOGRECNO	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUNTYCC	Geo_COUNTYSC	Geo_COUSUB	Geo_COUSUBCC	Geo_COUSUBSC	Geo_PLACE	Geo_PLACECC	Geo_PLACESC	Geo_TRACT	Geo_BLKGRP	Geo_BLOCK	Geo_IUC	Geo_CONCIT	Geo_CONCITCC	Geo_CONCITSC	Geo_AIANHH	Geo_AIANHHFP	Geo_AIANHHCC	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_AITSCC	Geo_TTRACT	Geo_TBLKGRP	Geo_ANRC	Geo_ANRCCC	Geo_CBSA	Geo_CBSASC	Geo_METDIV	Geo_CSA	Geo_NECTA	Geo_NECTASC	Geo_NECTADIV	Geo_CNECTA	Geo_CBSAPCI	Geo_NECTAPCI	Geo_UA	Geo_UASC	Geo_UATYPE	Geo_UR	Geo_CD	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_VTDI	Geo_RESERVE2	Geo_ZCTA5	Geo_SUBMCD	Geo_SUBMCDCC	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_AREALAND	Geo_AREAWATR	Geo_FUNCSTAT	Geo_GCUNI	Geo_POP100	Geo_HU100	Geo_INTPTLAT	Geo_INTPTLON	Geo_LSADC	Geo_PARTFLAG	Geo_RESERVE3	Geo_UGA	Geo_STATENS	Geo_COUNTYNS	Geo_COUSUBNS	Geo_PLACENS	Geo_CONCITNS	Geo_AIANHHNS	Geo_AITSNS	Geo_ANRCNS	Geo_SUBMCDNS	Geo_CD113	Geo_CD114	Geo_CD115	Geo_SLDU2	Geo_SLDU3	Geo_SLDU4	Geo_SLDL2	Geo_SLDL3	Geo_SLDL4	Geo_AIANHHSC	Geo_CSASC	Geo_CNECTASC	Geo_MEMI	Geo_NMEMI	Geo_PUMA	Geo_RESERVED	SE_T001_001
"1322340"	"Fitzgerald, GA Micro Area"	"Fitzgerald, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337137"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"22340"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1565553131"	"31614656"	"S"	""	"27172"	"11975"	"+31.6675327"	"-083.2639686"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	27172
"1322980"	"Fort Valley, GA Micro Area"	"Fort Valley, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337141"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"22980"	"16"	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"389190656"	"2676298"	"S"	""	"27695"	"11050"	"+32.5787694"	"-083.8240664"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"2"	""	""	""	27695
"1323580"	"Gainesville, GA Metro Area"	"Gainesville, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337144"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"23580"	"18"	""	"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1017300166"	"94568081"	"S"	""	"179684"	"68825"	"+34.2933437"	"-083.8444684"	"M1"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"23"	""	"1"	""	""	""	179684
"1325980"	"Hinesville-Fort Stewart, GA Metro Area"	"Hinesville-Fort Stewart, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337147"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"25980"	"17"	""	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2305334043"	"301076438"	"S"	""	"77917"	"32770"	"+31.8263986"	"-081.6075778"	"M1"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"1"	""	""	""	77917
"1327700"	"Jesup, GA Micro Area"	"Jesup, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337152"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"27700"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1662194319"	"18179669"	"S"	""	"30099"	"12199"	"+31.5788338"	"-081.9102001"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	30099
"1329300"	"LaGrange, GA Micro Area"	"LaGrange, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337155"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"29300"	"17"	""	"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1072223976"	"82812028"	"S"	""	"67044"	"28046"	"+33.0291005"	"-085.0381600"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"23"	""	"2"	""	""	""	67044
"1331420"	"Macon, GA Metro Area"	"Macon, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337158"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"31420"	"18"	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4461614946"	"38958651"	"S"	""	"232293"	"101587"	"+32.8575861"	"-083.6843148"	"M1"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"1"	""	""	""	232293
"1333300"	"Milledgeville, GA Micro Area"	"Milledgeville, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337165"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"33300"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1889873339"	"42494364"	"S"	""	"55149"	"25519"	"+33.1557924"	"-083.1493300"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	55149
"1334220"	"Moultrie, GA Micro Area"	"Moultrie, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337169"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"34220"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1409350694"	"32337972"	"S"	""	"45498"	"18311"	"+31.1860473"	"-083.7799546"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	45498
"1340660"	"Rome, GA Metro Area"	"Rome, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337172"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"40660"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1320662374"	"22156077"	"S"	""	"96317"	"40551"	"+34.2579604"	"-085.1963263"	"M1"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"1"	""	""	""	96317
